variant	unit_id	label
kan	SU_0014	Kan
kandijl	SU_0106	Kandijl
karaat	SU_0042	Karaat
kati	SU_0024	Kati
katja seer	SU_0393	Ceer Katja
katje	SU_0024	Kati
kel	SU_0449	Kel
ketsja maon	SU_0424	Maon Ketsja
kipping	SU_0366	Kipping
kipps.	SU_0366	Kipping
kit	SU_0017	Kit
kit met kopere lip	SU_0017	Kit
kleine bhaar	SU_0498	Kleine Bhaar
kleine candyl	SU_0496	Kleine Candyl
kleine duim (japans)	SU_0513	Kleine Duim (Japans)
kleine voet	SU_0515	Kleine Voet (Japans)
kleine voet (japans)	SU_0515	Kleine Voet (Japans)
kleine wiese	SU_0508	Kleine Wiese
koetika	SU_0422	Koetika
kojang	SU_0020	Cojang
koker	SU_0364	Tampang
koyan	SU_0020	Cojang
koyang	SU_0020	Cojang
kraat	SU_0042	Karaat
last	SU_0116	Last
lb	SU_0012	Pond (Engels)
lood	SU_0034	Loot
loot	SU_0034	Loot
maas	SU_0451	Maas
maat	SU_0278	Maat
madrasse garst	SU_0493	Madrasse Garst
madrasse markal	SU_0494	Madrasse Markal
man	SU_0124	Man
manderijns cobido	SU_0455	Manderijns Cobido
mangelie	SU_0041	Mangely
mangelin	SU_0041	Mangely
mangely	SU_0041	Mangely
manicom	SU_0509	Manicom
manjadie	SU_0041	Mangely
mansjadie	SU_0041	Mangely
manties	SU_0124	Man
mantjes	SU_0124	Man
mao	SU_0124	Man
maon	SU_0390	Compagnies maon
maon (engels)	SU_0461	Maon (Engels)
maon katja	SU_0390	Compagnies maon
maon ketsja	SU_0424	Maon Ketsja
maon pakka	SU_0392	Maon Pakka
maon souratsch	SU_0443	Maon Suratsch
maon suratsch	SU_0443	Maon Suratsch
marcq	SU_0126	Mark
mark	SU_0126	Mark
mark trois	SU_0036	Mark trois
markaal	SU_0127	Markal
markal	SU_0127	Markal
massa	SU_0398	Massa
maun	SU_0124	Man
maund	SU_0124	Man
mauw	SU_0502	Mauw
medied	SU_0367	Mediet
mediet	SU_0367	Mediet
mochasche ges	SU_0098	Ges
mookje	SU_0467	Mookje
muddeke	SU_0003	Mutsje
munts maon	SU_0408	Munts Maon
musje	SU_0003	Mutsje
mutsje	SU_0003	Mutsje
nagapatnamse maat	SU_0492	Nagapatnamse Maat
nederlandsch	SU_0011	Pond (VOC)
nederlandsch pond	SU_0011	Pond (VOC)
neli	SU_0401	Neli
nili	SU_0401	Neli
once	SU_0033	Ons
once holl.	SU_0033	Ons
once hollandsch	SU_0033	Ons
once trois	SU_0437	Once trois
ons	SU_0033	Ons
ordinaire gos	SU_0418	Ordinaire gos
pacca cheer	SU_0425	Ceer Pakka
pacca zeer	SU_0425	Ceer Pakka
packa cheer	SU_0425	Ceer Pakka
paens ceerie	SU_0395	Paens Ceerie
pagood	SU_0479	Pagood
pak	SU_0289	Pak
pakka retti	SU_0404	Pakka Retti
palam	SU_0383	Pallam
palie	SU_0440	Palie
pallam	SU_0383	Pallam
pantsera	SU_0416	Pantseras
pantseras	SU_0416	Pantseras
parra	SU_0149	Parra
patta nefel	SU_0505	Patta nefel
patta nevel	SU_0505	Patta nefel
patti	SU_0444	Patti
pees	SU_0292	pees
peis	SU_0436	Peis
pelle	SU_0373	Pelle
pherra	SU_0438	Pherra
picol	SU_0155	Pikol
pikol	SU_0155	Pikol
pint	SU_0157	Pint
pintje	SU_0157	Pint
pond	SU_0011	Pond (VOC)
pond (engels)	SU_0012	Pond (Engels)
pond (frans)	SU_0453	Pond (Frans)
pond (voc)	SU_0011	Pond (VOC)
pond engelsch	SU_0012	Pond (Engels)
pond fransch	SU_0453	Pond (Frans)
pond hollands	SU_0011	Pond (VOC)
pond hollandsch	SU_0011	Pond (VOC)
pouw	SU_0405	Pouw
ps	SU_0292	pees
ps.	SU_0292	pees
puntos	SU_0412	Puntos
qattie nevel	SU_0506	Qattie nevel
quart	SU_0489	Quart mediet
quart kan	SU_0347	Quart Kan
quart markal	SU_0378	Quart Markal
quart mediet	SU_0489	Quart mediet
quart parra	SU_0389	Quart Parra
reaal	SU_0035	Reaal
retti	SU_0400	Retti
rijnlandsche duim	SU_0357	Rijnlandsche duim
rijnlandsche voet	SU_0027	Rijnlandse Voet
rijnlandse roede	SU_0026	Rijnlandse Roede
rijnlandse voet	SU_0027	Rijnlandse Voet
roe	SU_0172	Roede
roede	SU_0172	Roede
roede rijnlandsch	SU_0026	Rijnlandse Roede
roeij	SU_0172	Roede
ropia	SU_0363	Ropia
ropy	SU_0363	Ropia
sa. rop	SU_0409	Sikka Ropij
sanga	SU_0350	Sanga
sattak	SU_0406	Settak
